name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
カエデ（楓）,"美しい変化,大切な思い出,遠慮,調和",葉の形がカエルの手に似ていることから「蛙手（かえるで）」となり、それが変化して「カエデ」になったと言われています。,季節が変わると共に、緑色から鮮やかな赤や黄色へと劇的に、そして美しく色を変える様子から「美しい変化」。散りゆく紅葉が、過ぎ去った日々や故郷を懐かしむ気持ちを呼び起こすことから「大切な思い出」とされました。,"10月3日,10月25日",ムクロジ科。北半球原産。カナダ国旗のデザイン（メープルリーフ）としても有名です。「モミジ」は植物の名前ではなく、カエデの中で特に紅葉が美しいものを指す日本独自の呼び方です。,https://upload.wikimedia.org/wikipedia/commons/f/fe/Acer_palmatum_2.jpg
カカオ,"神の食べ物,親切,繁栄,恋する予感",学名の「Theobroma」はギリシャ語で「神の食べ物」という意味です。メキシコ原住民の言葉が語源です。,古代アステカ文明では、カカオ豆はお金として使われるほど貴重で、王様や神様への捧げ物だったことから「神の食べ物」。一本の木にたくさんの実がなり、栄養満点で人々を潤したことから「繁栄」や「親切」の象徴とされました。,2月14日,アオイ科。中南米原産。チョコレートやココアの原料としておなじみです。実はラグビーボールのような形をしていて、木の幹から直接ぶら下がるように実ります。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Cocoa_Pods.JPG
カキツバタ（杜若）,"幸福が来る,幸せはあなたのもの,贈り物,高貴",昔は花の汁を布にこすりつけて染めたことから「書き付け花」と呼ばれ、それが変化したと言われています。「いずれ菖蒲か杜若」という言葉でも有名です。,『伊勢物語』で、在原業平がカキツバタの五文字を頭文字にした和歌を詠み、都に残してきた妻への想いを表現した物語から、愛する人を待つ人に「幸福が来る」という花言葉が生まれました。,"4月17日,4月29日,5月13日",アヤメ科。日本原産。水辺や湿地を好んで咲きます。アヤメやハナショウブとそっくりですが、カキツバタは花びらの付け根に白い筋が入っているのが見分けるポイントです。,https://upload.wikimedia.org/wikipedia/commons/e/e1/Iris_laevigata_2.jpg
ガジュマル,"健康,多くの幸せ",幹の途中から気根（きこん）という根を出し、それが地面に着いて太い幹になり、巨大に成長して長生きする強い生命力に由来します。,沖縄では子供の精霊「キジムナー」が宿る木とされ、そのたくましい生命力と、気根が絡み合って大地に根を張る姿から、持ち主に健康と長寿をもたらす「健康」の花言葉がつきました。「多幸の木」とも呼ばれます。,11月20日,クワ科。熱帯アジア原産。垂れ下がった気根がタコの足のように見えるユニークな姿が特徴です。縁起の良い観葉植物として非常に人気があります。,https://upload.wikimedia.org/wikipedia/commons/3/30/Ficus_microcarpa_01.jpg
カスミスソウ（霞草）,"清らかな心,無邪気,親切,感謝,夢見心地",白く細かい無数の花がふんわりと咲く様子が、春の野山にかかる霞（かすみ）のように見えることから名付けられました。,純白の小さな花が控えめに咲く姿が、飾り気がなく清純に見えることから「清らかな心」「無邪気」。花束の名脇役としてメインの花を引き立て、相手に感謝を伝える場面でよく使われることから「親切」「感謝」とされました。,"4月4日,5月21日,6月1日",ナデシコ科。地中海沿岸原産。独特の匂いがありますが、最近は無臭の品種も作られています。花束やブーケにボリュームと優しさを添えるのに欠かせない存在です。,https://upload.wikimedia.org/wikipedia/commons/8/87/Gypsophila_elegans.jpg
カタクリ（片栗）,"初恋,寂しさに耐える,嫉妬",昔の球根の形が、栗のイガの中にある実の片割れに似ていることから「片栗」と名付けられました。昔はこの球根から片栗粉を作っていました。,早春、まだ雪が残る寒い森の中で、うつむくように紫色の花を咲かせる姿が、恥じらって想いを伝えられない「初恋」の少女のように見えることから。下を向く姿が、すねて嫉妬しているようにも見えるため「嫉妬」とも言われます。,"3月24日,3月26日",ユリ科。日本原産。種が芽を出してから花が咲くまで7〜8年もかかります。現在スーパーで売られている片栗粉のほとんどは、ジャガイモのデンプンで代用されています。,https://upload.wikimedia.org/wikipedia/commons/c/c9/Erythronium_japonicum_mount_misho_2009_04.JPG
カタバミ（片喰）,"喜び,輝く心,母の優しさ,決してあなたを捨てません",夜になると葉を閉じて眠り、その姿が葉の片側が食べられた（欠けた）ように見えることから「片喰」と名付けられました。,ものすごい繁殖力で、一度根付くと絶やすのが難しいことから、家系が絶えない「喜び」として武家の家紋によく使われました。また、昔この葉で鏡を磨くとピカピカになったことから「輝く心」とされました。,"1月26日,5月20日",カタバミ科。世界中に分布。クローバーに似ていますが別物で、ハート型の葉が特徴です。日本十大紋の一つであり、多くの戦国武将に愛された植物です。,https://upload.wikimedia.org/wikipedia/commons/1/15/Oxalis_corniculata_flower.jpg
カトレア,"魔力,魅惑的,成熟した大人の魅力,優雅な女性",19世紀のイギリスの園芸家ウィリアム・カトレアが、梱包材として使われていたこの植物を育てて花を咲かせたことにちなんで名付けられました。,「ランの女王」と呼ばれるにふさわしく、他の花を圧倒するほど豪華で華やかな姿と、甘く濃厚な香りを持つことから、成熟した女性の美しさを称える「魅惑的」「魔力」という言葉が贈られました。,"10月14日,11月24日,12月23日",ラン科。中南米原産。パーティーなどの華やかな場でのコサージュや、高級なブーケによく使われる、まさに花の女王です。木の上などに根を張る着生ランです。,https://upload.wikimedia.org/wikipedia/commons/8/82/Cattleya_labiata_Orchi_01.jpg
カニサボテン,"一時の美,美しい眺め,愛される喜び,波乱万丈",葉（茎）の形がカニの爪に似ていて、節がつながっているサボテンであることから名付けられました。別名は「シャコバサボテン」。,クリスマスの時期に、透き通るような鮮やかなピンクや赤の花を咲かせますが、その美しい期間が短いことから「一時の美」。冬の殺風景な室内をパッと明るく彩る姿から「美しい眺め」とされました。,"11月25日,12月10日",サボテン科。ブラジル原産。英語では「クリスマスカクタス」と呼ばれます。日照時間が短くなると花芽をつける性質があるため、夜も明るい場所に置くと花が咲かないことがあります。,https://upload.wikimedia.org/wikipedia/commons/2/29/Schlumbergera_truncata_01.jpg
カンナ,"情熱,快活,永遠,妄想,尊敬",ギリシャ語で「葦（あし）」を意味する言葉が由来です。茎が葦のように空洞になっていることから名付けられました。,真夏の強烈な日差しにも負けず、燃えるような赤や黄色の花を力強く咲かせる姿から「情熱」「快活」。その色が鮮やかすぎて、まるで現実離れした夢を見ているような気分にさせることから「妄想」とも言われます。,"8月2日,8月13日,8月19日",カンナ科。熱帯アメリカ原産。コロンブスがアメリカ大陸から持ち帰った花の一つと言われています。暑さに非常に強く、真夏の花壇を元気に彩る代表的な花です。,https://upload.wikimedia.org/wikipedia/commons/d/d4/Canna_indica_L._02.jpg
