name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
タイサンボク（泰山木）,"前途洋々,威厳,壮麗,自然の愛情",中国の偉大な山「泰山」のように、巨大で立派な樹形をしていることから名付けられました。学名はフランスの植物学者マニョルにちなみます。,20mもの巨木に、大人の手のひらほどもある真っ白で肉厚な花を、空に向かって堂々と咲かせる姿は圧巻です。その圧倒的な存在感と気高さから、輝かしい未来を予感させる「前途洋々」や「威厳」とされました。,"6月4日,6月18日,12月20日",モクレン科モクレン属。北米原産。マグノリアの香水として有名な、レモンのような爽やかで甘い強い香りがあります。葉の裏がフェルトのような毛で覆われているのが特徴。,https://upload.wikimedia.org/wikipedia/commons/e/ee/Magnolia_grandiflora_flower_1.jpg
タイム,"活動,勇気,強さ,行動力,清潔",ギリシャ語の「Thymon（勇気）」や「Thyo（香らせる）」が語源。古代より、その香りが勇気を奮い立たせると信じられていました。,古代ギリシャの兵士は戦いの前にタイムの風呂に入って勇気を得たとされ、中世の騎士は貴婦人からタイムの刺繍入りのスカーフを贈られて戦場へ向かいました。この歴史から、タイムは「勇気」と「活動」の象徴です。,"6月2日,6月18日,8月2日",シソ科イブキジャコウソウ属。地中海沿岸原産。強力な殺菌成分チモールを含み、古代エジプトではミイラの保存に使われました。現代でも肉料理の臭み消しや風邪予防に欠かせないハーブです。,https://upload.wikimedia.org/wikipedia/commons/e/ea/Thymus_vulgaris_01.jpg
タケ（竹）,"節度,節操のある,忠誠,忍耐",上へ伸びるにつれて規則正しい「節（ふし）」ができることから、古くは「高（タカ）」と呼ばれたとも言われます。,中が空洞でありながら、強風や雪にも折れずにしなる強さと、等間隔にある節が規律正しい印象を与えることから「節度」「忍耐」。冬でも色あせず青々としている姿から、変わらぬ「忠誠」を表します。,1月2日,イネ科マダケ属。驚異的なスピードで成長し、1日で1m以上伸びることも。花は60〜120年に一度しか咲かず、咲くと竹林ごと枯れてしまうという不思議な生態を持ちます。,https://upload.wikimedia.org/wikipedia/commons/2/25/Bamboo_Kyoto.jpg
タチアオイ（立葵）,"大望,野心,豊かな実り,気高く威厳に満ちた美",茎が垂直に立ち上がり、アオイに似た花を咲かせることから。別名「梅雨葵」とも呼ばれ、梅雨入りと同時に咲き始め、梅雨明けと共に咲き終わると言われます。,空に向かって真っ直ぐに茎を伸ばし、高い位置で大輪の花を咲かせる姿が、高い志を持って夢を追う様子に見えることから「大望」「野心」。一つの株にたくさんの実をつけることから「豊かな実り」とも。,"6月18日,6月23日,8月18日",アオイ科タチアオイ属。トルコ原産。花弁の根元が粘着質で、顔にくっつけて遊べることから「コケコッコ花」とも呼ばれます。根は薬用になります。,https://upload.wikimedia.org/wikipedia/commons/e/e3/Alcea_rosea_bgiu.jpg
タチバナ（橘）,"高貴,追憶",日本書紀にある不老不死の果実「非時香菓（ときじくのかぐのこのみ）」がタチバナだとされることから。古くは柑橘類の総称でした。,常緑で冬でも青々とした葉を茂らせ、花も実も香り高いことから、永遠の繁栄や気品を象徴して「高貴」。その香りが過去を懐かしませるとして、古今和歌集の歌にちなみ「追憶」の花言葉がつきました。,12月26日,ミカン科ミカン属。日本固有の唯一の野生柑橘。京都御所の「右近の橘」や、文化勲章のデザインとしても知られ、日本の歴史と深く結びついた植物です。,https://upload.wikimedia.org/wikipedia/commons/2/2f/Citrus_tachibana_flower.jpg
タツナミソウ（立浪草）,私の命を捧げます,花が同じ方向を向いて咲く様子が、押し寄せる波頭（白波）のように見えることから「立浪草」と名付けられました。,打ち寄せる波のような花の形から、寄せては返す波のように、相手に尽くす一途な思いを連想させ、「私の命を捧げます」という情熱的で献身的な花言葉が生まれました。,"5月6日,6月15日",シソ科タツナミソウ属。日本、朝鮮半島原産。野山に自生し、青紫や白の小花を咲かせます。波の文様のような花姿が美しい山野草です。,https://upload.wikimedia.org/wikipedia/commons/a/a2/Scutellaria_indica_flower.jpg
ダニエル・クッション,"忍耐,内気",ナデシコの仲間で、クッションのようにこんもりと茂る性質を持つ品種の名前から。,厳しい寒さにも耐え、地面を覆うように低く密集して咲く姿から「忍耐」。派手さはないものの、小さな花を懸命に咲かせる様子が、控えめで「内気」な印象を与えます。,該当なし,ナデシコ科ナデシコ属。高山植物のような性質を持ち、グランドカバーやロックガーデンに適しています。春に鮮やかなピンク色の花で地面を埋め尽くします。,https://upload.wikimedia.org/wikipedia/commons/e/e1/Dianthus_gratianopolitanus_B.jpg
タニウツギ（谷空木）,豊麗,山間の谷沿いによく生え、幹が中空（ウツギ）であることから。田植えの時期に咲くため「田植え花」とも呼ばれます。,新緑の季節に、枝がたわむほどびっしりとピンク色の花を咲かせ、谷間を明るく彩る様子が、豊かで美しいことから「豊麗」という花言葉がつきました。,5月24日,スイカズラ科タニウツギ属。日本原産（日本海側に多い）。美しい花ですが、地域によっては「火事花」として忌み嫌われる迷信もあります。,https://upload.wikimedia.org/wikipedia/commons/d/d7/Weigela_hortensis_flower.jpg
タバコ（煙草）,"ふれあい,全快,寂しい思い",タバコの葉を乾燥させて喫煙することから。先住民の言葉でパイプを意味する「tabaco」が語源。,ネイティブアメリカンが和平の儀式でパイプを回し飲みし、交流を深めた歴史から「ふれあい」。薬草として傷の治療に使われたことから「全快」。煙となって消えていく儚さから「寂しい思い」。,5月21日,ナス科タバコ属。南米原産。花はピンク色のラッパ型で美しいですが、全草にニコチンを含み有毒です。コロンブスによって世界中に広まりました。,https://upload.wikimedia.org/wikipedia/commons/f/ff/Nicotiana_tabacum_flower.jpg
タマシダ（玉羊歯）,"愛嬌,誠実",根の一部に球状の塊茎（玉）ができるシダであることから「タマシダ」。,羽のように繊細な葉が規則正しく並び、ふんわりと垂れ下がる姿が、優雅でありながら親しみやすさを感じさせることから「愛嬌」。どんな環境でも緑を保つ強さから「誠実」。,9月10日,ツルシダ科タマシダ属。世界中の熱帯・温帯に分布。乾燥に強く丈夫なため、観葉植物やハンギングバスケットによく利用されます。,https://upload.wikimedia.org/wikipedia/commons/9/91/Nephrolepis_cordifolia_02.jpg
