name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
ライラック,"思い出,友情,初恋の香り,謙虚",ペルシャ語で青色を意味する「Lilak」が語源。フランス語では「リラ」。,ハート型の葉が「友情」や「愛」のシンボルとされます。甘く優しい香りが、青春の甘酸っぱい記憶を呼び覚ますことから「思い出」「初恋の香り」。フランスでは白いライラックは青春の象徴です。,"5月17日,6月12日,6月26日",モクセイ科ハシドイ属。欧州原産。冷涼な気候を好み、札幌の木としても有名。通常4弁の花の中に、稀にある5弁の花（ラッキーライラック）を見つけると幸せになれると言われます。,https://upload.wikimedia.org/wikipedia/commons/e/e6/Syringa_vulgaris_01.jpg
ラズベリー（木苺）,"愛情,深い後悔,謙遜,嫉妬",実が赤く色づくことから。英語の「Raspberry」は「荒い（Rasp）ベリー」という意味とも言われます。,甘酸っぱい実が、初恋の味や「愛情」を連想させます。一方で、鋭いトゲがあり、不用意に触ると怪我をすることから「深い後悔」や「嫉妬」という裏の意味も持ちます。,3月4日,バラ科キイチゴ属。果実は生食やジャムに。葉は「ラズベリーリーフティー」として、安産のお茶として親しまれています。,https://upload.wikimedia.org/wikipedia/commons/2/2b/Raspberries05.jpg
ラッパスイセン（喇叭水仙）,"尊敬,報われぬ恋,あなたを待つ",花の中央にある副花冠が長く伸び、ラッパのような形をしていることから。,鮮やかな黄色い花が、高らかにファンファーレを鳴らしているように見えることから「尊敬」。ナルキッソスの伝説（届かぬ恋）に由来して「報われぬ恋」とも。,"1月13日,2月16日,3月1日",ヒガンバナ科スイセン属。ウェールズの国花。普通のスイセンよりも真ん中の筒（副花冠）が長く目立つのが特徴です。,https://upload.wikimedia.org/wikipedia/commons/6/6d/Narcissus_pseudonarcissus_01.jpg
ラナンキュラス,"とても魅力的,華やかな魅力,光輝を放つ,名誉",ラテン語の「Rana（カエル）」に由来。葉がカエルの足に似ており、湿地に生えることから。,幾重にも重なる薄い花びらが、ドレスのように豪華で目を引くことから「とても魅力的」。シルクのような光沢のある花びらが、光を受けて輝く様子から「光輝を放つ」。,"1月20日,3月2日,3月20日",キンポウゲ科キンポウゲ属。中近東原産。中世ヨーロッパで改良され、バラやボタンに負けない豪華な花になりました。球根植物。,https://upload.wikimedia.org/wikipedia/commons/e/e4/Ranunculus_asiaticus_flower.jpg
ラベンダー,"沈黙,疑惑,期待,清潔,優美",ラテン語の「Lavare（洗う）」が語源。ローマ人が入浴時に香りを楽しみ、心身を浄化したことから。,その香りが高ぶりを鎮め、静寂をもたらすことから「沈黙」。香りが強すぎて不思議な気分にさせることから「疑惑」とも。少女が恋心を香りに託して待つ伝説から「期待」。,"7月5日,7月10日,12月3日",シソ科ラベンダー属。地中海沿岸原産。ハーブの女王。富良野のラベンダー畑が有名ですが、高温多湿は苦手。リラックス効果の高いアロマテラピーの代表格。,https://upload.wikimedia.org/wikipedia/commons/8/87/Lavandula_angustifolia_002.jpg
ラン（蘭）,"美しい淑女,優雅",「蘭」という漢字は、元々フジバカマを指していましたが、後に熱帯産の美しい花を指すようになりました。,多様な種類があるが、どれもエキゾチックで気品があり、ドレスをまとった貴婦人のように美しいことから「美しい淑女」「優雅」。,11月16日,ラン科の総称。地球上で最も進化した植物群の一つと言われ、独自の花の形と受粉システムを持つ。カトレア、胡蝶蘭、シンビジウムなど。,https://upload.wikimedia.org/wikipedia/commons/d/df/Orchid_high_res.jpg
ランタナ,"協力,合意,厳格,心変わり",小さな花が集まって咲くことから。色が変化することから和名は「七変化（シチヘンゲ）」。,小さな花が密集して一つの花房を作っている様子から「協力」「合意」。花の色が黄色から赤、ピンクへと次々に変化していく様子から「心変わり」。,"9月7日,10月27日,11月9日",クマツヅラ科ランタナ属。中南米原産。非常に丈夫で、世界の侵略的外来種ワースト100にも入るほどの繁殖力を持つ。花は美しいが実は有毒。,https://upload.wikimedia.org/wikipedia/commons/9/93/Lantana_camara_flower_and_leaves.jpg
リアトリス,"燃える思い,長すぎた恋愛,向上心",花穂が長く伸びる姿から。北米原産。,直立した茎の先に、紫色のフワフワした花を密に咲かせ、上から下へと咲き進む様子が、燃え尽きていく松明（たいまつ）のように見えることから「燃える思い」。,6月17日,キク科リアトリス属。北米原産。和名は「麒麟菊（キリンギク）」。花が上から下に向かって咲く珍しい性質を持つ（多くの植物は下から上へ咲く）。,https://upload.wikimedia.org/wikipedia/commons/d/dd/Liatris_spicata_Deep_Purple_01.jpg
リシマキア,"強気,勝負好き",マケドニアの王リシマコスにちなんで名付けられました。,リシマコス王が怒った雄牛に襲われた際、この植物を振って牛を鎮めたという伝説から、困難に立ち向かう「強気」や「勝負好き」という花言葉がつきました。,該当なし,サクラソウ科オカトラノオ属。北半球に広く分布。黄色い花を咲かせる品種が多く、グランドカバーとして人気。,https://upload.wikimedia.org/wikipedia/commons/9/91/Lysimachia_punctata_flower.jpg
リナリア,"この恋に気づいて,幻想",ギリシャ語の「linon（亜麻）」に由来。葉が亜麻に似ていることから。和名は「姫金魚草」。,金魚のような形をした小さな花が、群れて風に揺れる様子が、パステルカラーの幻想的な風景を作ることから「幻想」。控えめな姿から「この恋に気づいて」。,"3月5日,4月10日",オオバコ科ウンラン属。北半球原産。キンギョソウを小さくしたような花を咲かせる。花畑や寄せ植えの名脇役。,https://upload.wikimedia.org/wikipedia/commons/f/ff/Linaria_maroccana_flowers.jpg
リンドウ（竜胆）,"悲しんでいるあなたを愛する,正義,誠実",根が熊の胆（くまのい）よりも苦いことから「竜の胆」＝「竜胆」と名付けられました。,群生せず、野山で一本ずつ空に向かって咲く孤高の姿や、その悲しげな青紫色から「悲しんでいるあなたを愛する」。根が薬として病人を救うことから「正義」。,"8月31日,9月16日,10月20日",リンドウ科リンドウ属。日本、中国原産。秋の野山を代表する花。晴れた日にだけ花を開く。長野県や熊本県の県花。,https://upload.wikimedia.org/wikipedia/commons/9/9f/Gentiana_scabra_var._buergeri_2.jpg
ルピナス,"想像力,いつも幸せ,貪欲",ラテン語の「lupus（オオカミ）」に由来。荒地でも育つたくましさをオオカミに例えたもの。和名は「昇り藤」。,空に向かって立ち上がる花穂が、想像の世界への架け橋のように見えることから「想像力」。食べた人の心を明るくするという古代の伝説から「いつも幸せ」。,"5月31日,11月2日",マメ科ルピナス属。南北アメリカ、地中海沿岸原産。フジの花を逆さにしたような姿から「昇り藤」。古代エジプトでは食料とされた。,https://upload.wikimedia.org/wikipedia/commons/a/a2/Lupinus_polyphyllus_bgiu.jpg
ルリタマアザミ（瑠璃玉薊）,"鋭い感性,傷つく心,独り立ち",瑠璃色（青）の玉のような花を咲かせ、葉がアザミに似ていることから。,トゲのある葉と、針のような花弁が集まったボール状の花が、繊細で傷つきやすい心を鎧で守っているように見えることから「傷つく心」「鋭い感性」。,8月23日,キク科ヒゴタイ属。地中海沿岸原産。英名は「グローブ・シスル」。ドライフラワーにしても青色が綺麗に残るため人気がある。,https://upload.wikimedia.org/wikipedia/commons/3/30/Echinops_ritro_flower.jpg
レウイシア,"熱い思い,ほのかな思い",アメリカの探検家メリウェザー・ルイスにちなんで名付けられました。,岩場などの厳しい環境で、色鮮やかで美しい花を咲かせる情熱的な姿から「熱い思い」。可愛らしい花の印象から「ほのかな思い」とも。,該当なし,スベリヒユ科レウイシア属。北米のロッキー山脈原産。多肉植物の仲間で、乾燥に強い。花びらに縞模様が入るのが特徴。,https://upload.wikimedia.org/wikipedia/commons/2/23/Lewisia_cotyledon_flower.jpg
レンギョウ（連翹）,"期待,希望,集中力",枝に花が連なって咲き、実がキジの尾羽（翹）に似ていることから「連翹」。,まだ寒い早春に、鮮やかな黄金色の花を枝いっぱいに咲かせ、春の光輝く季節の到来を告げることから「希望」「期待」。,"1月18日,2月12日,3月22日",モクセイ科レンギョウ属。中国原産。春を告げる花木の一つ。英名は「ゴールデン・ベル」。実は「連翹」という漢方薬になり、解毒・消炎作用がある。,https://upload.wikimedia.org/wikipedia/commons/c/c5/Forsythia_suspensa_flower.jpg
レンゲソウ（蓮華草）,"心が和らぐ,私の幸福,あなたと一緒なら苦痛が和らぐ",花がハス（蓮華）の花に似ていることから。正式名称は「ゲンゲ（紫雲英）」。,春の田んぼ一面をピンク色に染める風景が、見る人の心を穏やかに癒やすことから「心が和らぐ」。薬草としての効能もあり、人々の生活を助けたことから「あなたと一緒なら苦痛が和らぐ」。,"3月12日,4月8日",マメ科ゲンゲ属。中国原産。かつては緑肥（肥料）として田んぼに植えられ、ミツバチの蜜源としても重要だった。日本の原風景の一つ。,https://upload.wikimedia.org/wikipedia/commons/e/e6/Astragalus_sinicus_flower.jpg
ロウバイ（蝋梅）,"慈愛,ゆかしさ,先導,先見の明",花びらが蝋細工のように半透明で、梅に似た香りがすることから。,冬の寒さの中で、他の花に先駆けてそっと黄色い花を咲かせる姿が、控えめで奥ゆかしいことから「ゆかしさ」。春を導く花として「先導」。,"1月2日,1月21日,12月30日",ロウバイ科ロウバイ属。中国原産。梅の仲間ではなく、クスノキ目に属する。雪の中で咲く姿は美しく、甘い香りが春の訪れを知らせる。,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chimonanthus_praecox_flower.jpg
ローダンセ,"変わらぬ思い,終わりのない友情,光輝",ギリシャ語の「バラ色の花」に由来。和名は「広葉之花簪（ヒロハノハナカンザシ）」。,カサカサした花びらが、乾燥しても色あせず、ドライフラワーにしても美しさを保つことから、永遠に続く関係を願って「変わらぬ思い」「終わりのない友情」。,"2月13日,2月22日,6月27日",キク科ローダンセ属。オーストラリア原産。ピンクや白の可愛い花。花首が細く、うつむいて咲く姿が愛らしい。,https://upload.wikimedia.org/wikipedia/commons/8/87/Rhodanthe_manglesii_flower.jpg
ローズマリー,"追憶,思い出,静かな力強さ,変わらぬ愛",ラテン語の「海の雫（Ros Marinus）」に由来。地中海沿岸の海辺に青い花を咲かせることから。,記憶力を高めるハーブとして古代から知られ、愛する人を忘れないための「思い出」「追憶」の象徴とされた。結婚式や葬儀の両方で、変わらぬ愛や記憶を誓うために使われる。,"1月13日,1月21日,9月20日",シソ科マンネンロウ属。地中海沿岸原産。若返りのハーブとも呼ばれる。料理、美容、薬用と幅広く使われる万能ハーブ。,https://upload.wikimedia.org/wikipedia/commons/5/52/Rosmarinus_officinalis_flower.jpg
ローダンセマム,"永遠の愛,気丈に振る舞う",（※ローダンセと混同されやすいが別種）,寒さに負けずにシルバーリーフを茂らせ、マーガレットに似た花を咲かせる丈夫な姿から「気丈に振る舞う」。長く咲き続けることから「永遠の愛」。,該当なし,キク科ローダンセマム属。北アフリカ原産。銀色の葉（シルバーリーフ）が美しく、花がない時期も観賞価値がある。,https://upload.wikimedia.org/wikipedia/commons/d/d4/Rhodanthemum_hosmariense.jpg
ロベリア,"悪意,謙遜,いつも愛らしい",植物学者マティアス・ド・ロベルにちなむ。和名は「瑠璃蝶草（ルリチョウソウ）」。,小さな蝶のような花を株いっぱいに咲かせる姿が「いつも愛らしい」。一方で、根にアルカロイド系の毒（ロベリン）を持つことから「悪意」という裏の花言葉も持つ。,"3月27日,7月5日,10月30日",キキョウ科ミゾカクシ属。南アフリカ原産。鮮やかな青紫色が特徴。ハンギングバスケットなどでふんわりと咲かせると美しい。,https://upload.wikimedia.org/wikipedia/commons/3/30/Lobelia_erinus_flower.jpg
ワスレナグサ（勿忘草）,"私を忘れないで,真実の友情",ドイツの伝説に由来。ドナウ川の岸辺に咲くこの花を恋人のために摘もうとして流された騎士が、最期に「私を忘れないで」と叫んで花を投げたという物語から。,この悲恋の伝説から、世界共通で「私を忘れないで」という花言葉を持つ。小さく可憐な青い花が、切ない願いを象徴している。,"2月7日,4月5日,4月21日",ムラサキ科ワスレナグサ属。欧州原産。英名も「Forget-me-not」。春の小川のほとりなどに群生する。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Myosotis_scorpioides_flower.jpg
ワレモコウ（吾亦紅）,"変化,もの思い,愛慕",「吾（われ）も紅（こう）なり」と主張したという逸話や、織田信長の家紋「木瓜（もっこう）」が割れた形に由来する説などがある。,秋風に揺れる赤茶色の小さな花穂が、華やかさはないものの深く渋い色合いをしており、静かに物思いにふけっているように見えることから「もの思い」。,"8月25日,10月28日,11月19日",バラ科ワレモコウ属。日本全土に分布。花びらはなく、赤茶色の部分はガク。源氏物語にも登場する秋の風情を代表する草花。,https://upload.wikimedia.org/wikipedia/commons/e/ea/Sanguisorba_officinalis_flower.jpg
ワタ（綿）,"優秀,繊細,偉大",種子から綿毛（コットン）が採れることから。,ふわふわの綿毛が、糸となり布となり人々の生活を支える「偉大」な資源であることから。また、大学（College）の語源に関係するという説もあり「優秀」。,"10月21日,12月14日",アオイ科ワタ属。熱帯原産。花はオクラやハイビスカスに似た美しい一日花。花が終わると実（コットンボール）ができ、はじけて綿が飛び出す。,https://upload.wikimedia.org/wikipedia/commons/7/77/Gossypium_hirsutum_flower.jpg
ワックスフラワー,"気まぐれ,可愛らしさ",花弁が蝋（ワックス）細工のような質感であることから。,蝋細工のような不思議な質感と、中心が窪んだ梅のような可愛らしい花姿から「可愛らしさ」。オーストラリアの荒野で育つため、環境によって変化することから「気まぐれ」とも。,該当なし,フトモモ科カメラウキウム属。オーストラリア原産。花持ちが非常に良く、切り花として人気。葉を揉むとレモンのような香りがする。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Chamelaucium_uncinatum_flower.jpg
