name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
ヤグルマギク（矢車菊）,"繊細,優美,教育,信頼,独身生活",花の形が、鯉のぼりの柱の先につける「矢車」に似ていることから。かつては矢車草と呼ばれていたが、別の植物と区別するために改名された。,ナポレオン軍から逃れる際に、プロシア王妃がこの花で冠を作り、王子たちを慰め教育したという逸話から「教育」「信頼」。繊細な青い花びらから「優美」。独身男性が胸元に飾る花とされたことから「独身生活」。,"3月5日,4月11日,8月2日",キク科ヤグルマギク属。欧州原産。ドイツの国花。ツタンカーメンの墓からも発見された。その美しい青色は「コーンフラワーブルー」と呼ばれ、サファイアの最高色を表す。,https://upload.wikimedia.org/wikipedia/commons/4/4b/Centaurea_cyanus_flower.jpg
ヤツデ（八手）,"健康,分別,親しみ",葉が手のひらのように深く切れ込んでいることから。実際は奇数（7〜9つ）に裂けることが多いが、末広がりで縁起の良い「八」が使われた。,冬の寒さの中でも、大きな緑の葉をツヤツヤと茂らせる丈夫な姿から「健康」。天狗の団扇のような葉が、魔物を追い払う魔除けとして玄関先によく植えられたことから「分別」「親しみ」。,"12月3日,12月27日",ウコギ科ヤツデ属。日本固有種。別名「天狗の羽団扇」。日陰でもよく育つ。葉には殺虫成分があり、昔はウジ殺しに使われた。,https://upload.wikimedia.org/wikipedia/commons/2/23/Fatsia_japonica_flower.jpg
ヤナギ（柳）,"従順,自由,憂い,わが胸の悲しみ",枝がしなやかに垂れ下がる様子から。ラテン語の「Salix（近く）」は水辺の近くに生えることに由来する。,風が吹くと逆らわずに枝をなびかせる姿から「従順」「自由」。一方で、幽霊画の背景に使われたり、中国で別れの際に贈られたりしたことから「憂い」「悲しみ」という切ない意味も持つ。,"2月13日,3月11日",ヤナギ科ヤナギ属。北半球に広く分布。樹皮には鎮痛成分が含まれており、アスピリンの原料となった。柔よく剛を制す「柳に雪折れなし」の諺でも有名。,https://upload.wikimedia.org/wikipedia/commons/5/58/Salix_babylonica_01.jpg
ヤブラン（藪蘭）,"忍耐,隠された心,謙虚",藪（やぶ）のような薄暗い場所に生え、ランに似た葉を持つことから。実際はキジカクシ科（ユリ科）。,木漏れ日しか届かない林床で、ひっそりと、しかし力強く紫色の花を咲かせる姿から「忍耐」「謙虚」。葉の間に隠れるように花をつけることから「隠された心」。,"8月25日,10月26日",キジカクシ科ヤブラン属。日本、東アジア原産。非常に丈夫で日陰に強いため、庭のグランドカバーとして重宝される。秋には黒く艶のある実をつける。,https://upload.wikimedia.org/wikipedia/commons/e/ec/Liriope_muscari_flower.jpg
ヤマブキ（山吹）,"気品,崇高,金運,待ちかねる",山に生え、細い枝が風に揺れる（振る）様子から「山振（やまぶり）」となり、転じて「山吹」になったとされる。,谷底に落とした金貨がこの花に変わったという伝説や、鮮やかな黄金色が小判（大判）の色に例えられることから「金運」「気品」。春の終わりを告げる花として万葉集でも愛された。,"3月28日,4月9日,5月4日",バラ科ヤマブキ属。日本、中国原産。太田道灌の逸話「七重八重花は咲けども山吹の実のひとつだになきぞ悲しき」で有名（八重咲きには実がならない）。,https://upload.wikimedia.org/wikipedia/commons/4/4c/Kerria_japonica_01.jpg
ヤマユリ（山百合）,"荘厳,威厳,人生の楽しみ,純潔",山中に自生する百合であることから。日本特産のユリの王様。,山の中でひときわ大きく、強い香りを放つ豪華な花を咲かせる姿が、圧倒的な存在感を持つことから「荘厳」「威厳」。風に揺れる優雅な姿から「人生の楽しみ」。,"6月30日,7月15日",ユリ科ユリ属。日本特産（本州）。ユリの中で最大級の花を咲かせる。鱗茎（球根）は大きく、食用（ゆり根）としても美味しい。,https://upload.wikimedia.org/wikipedia/commons/5/5e/Lilium_auratum_1.jpg
ユーカリ,"新生,再生,思い出,慰め",乾燥地でもよく育ち、山火事の跡から真っ先に芽を出す強い生命力を持つことから。,山火事になっても、種を守って発芽し、焦げた大地を再び緑に変える再生能力から「新生」「再生」。その香りが人々の心を落ち着かせ、記憶を呼び覚ますことから「思い出」「慰め」。,"11月7日,11月18日",フトモモ科ユーカリ属。オーストラリア原産。コアラの主食として有名。成長が非常に早く、精油（ユーカリオイル）は殺菌・消炎剤として使われる。,https://upload.wikimedia.org/wikipedia/commons/9/9e/Eucalyptus_globulus_flower.jpg
ユキノシタ（雪の下）,"深い愛情,博愛,恋心",雪が積もってもその下で緑の葉を保っていることから。白い花を雪に見立てたという説もある。,冷たい雪の下でも枯れずに葉を広げ、春を待つ姿が、秘めたる「深い愛情」や「恋心」を感じさせる。葉のしぼり汁が子供のひきつけや火傷の薬になることから、母のような「博愛」。,"2月8日,5月30日",ユキノシタ科ユキノシタ属。日本、中国原産。湿った岩場などに生える。葉は天ぷらにすると美味しい。花は「大」の字のような独特の形をしている。,https://upload.wikimedia.org/wikipedia/commons/9/91/Saxifraga_stolonifera_flower.jpg
ユキヤナギ（雪柳）,"愛嬌,愛らしさ,静かな思い,殊勝",柳のように垂れ下がった枝に、雪が積もったように白い小花を咲かせることから。,小さな白い花が枝いっぱいに咲き乱れる様子が、春の光の中で微笑んでいるように見えることから「愛嬌」「愛らしさ」。派手な色はないが、清楚で奥ゆかしい美しさから「静かな思い」。,"1月19日,3月11日",バラ科シモツケ属。日本、中国原産。春の訪れを告げる花木。非常に丈夫で、公園や道路の植え込みによく使われる。,https://upload.wikimedia.org/wikipedia/commons/f/fc/Spiraea_thunbergii_flower.jpg
ユズ（柚子）,"健康美,汚れなき人,恋のため息",中国から渡来した際の名前「柚（ゆう）」の実（子）であることから。酸っぱい実（酢）の意とも。,ビタミン豊富で香りが良く、お風呂に入れたり（柚子湯）料理に使ったりして健康を保つことから「健康美」。白い花が清らかで香り高いことから「汚れなき人」。,"5月23日,12月22日,12月31日",ミカン科ミカン属。中国原産。柑橘類の中では寒さに強く、日本料理に欠かせない香り。種から育てると実がなるまで18年かかると言われる（桃栗三年柿八年、柚子の大馬鹿十八年）。,https://upload.wikimedia.org/wikipedia/commons/5/5a/Citrus_junos_flower.jpg
ユリ（百合）,"純粋,無垢,威厳,華麗",球根の鱗茎が重なり合っている（寄り合う）ことから「百合」。風に花が揺れる様子からとも。,キリスト教では白いユリ（マドンナリリー）が聖母マリアの象徴とされ、受胎告知の絵画に描かれることから「純粋」「無垢」。その堂々とした咲き姿と香りから「威厳」。,"6月11日,6月25日,7月13日,10月11日",ユリ科ユリ属。北半球に分布。日本は美しいユリの原産地として有名で、シーボルトが持ち帰った日本のユリは欧州で大ブームとなった。「カサブランカ」はユリの女王と呼ばれる。,https://upload.wikimedia.org/wikipedia/commons/1/1d/Lilium_auratum_7.jpg
