name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
アイ（藍）,"美しい装い,あなた次第",植物そのものの名前よりも、染料としての色名「あふ（藍）」が先行して名付けられたと言われています。「青は藍より出でて藍より青し」という言葉の語源でもあります。,染める人の手加減や技法次第で、淡い水色から深く濃い紺色まで無限の色合いを出せることから「あなた次第」。また、藍染めで仕立てられた衣服の凛とした美しさから「美しい装い」という言葉が生まれました。,"3月10日,9月12日",タデ科イヌタデ属。人類が利用してきた最古の染料の一つです。葉自体は緑色ですが、発酵させて「すくも」という原料を作ることで、鮮やかなインディゴブルーが生まれます。,https://upload.wikimedia.org/wikipedia/commons/9/91/Persicaria_tinctoria_flower.jpg
アイスランドポピー,"慰め,忍耐,休息,気高い精神",シベリアのような極寒の地で発見されたことから、この名がつきました。日本での呼び名は「シベリアヒナゲシ」です。,凍てつくような寒さの土地で、春の訪れを待ちながら明るく咲く姿から「忍耐」。またギリシャ神話で、眠りの神ヒュプノスがこの花を使って、娘を失った女神デメテルに安らかな眠りと癒やしを与えたことから「休息」「慰め」とされています。,"2月24日,3月2日",ケシ科ケシ属。シベリア原産。くねくねと曲がった茎がチャームポイントです。ビタミンカラーの花は切り花としても人気で、部屋に春を呼び込みます。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Papaver_nudicaule_bgiu.jpg
アオイ（タチアオイ）,"大望,野心,豊かな実り,気高く威厳に満ちた美",神様に捧げる食事の日を意味する「あふひ（仰ぐ日）」、もしくは葉が青々としている「あおひ」が語源と言われています。,空に向かって真っ直ぐに茎を伸ばし、堂々とした花を次々と咲かせる姿が、高い志を持つ人のようで「大望」「野心」。また、一つの株からたくさんの種ができることから「豊かな実り」の象徴でもあります。,"6月18日,6月23日,8月18日",アオイ科タチアオイ属。地中海沿岸が故郷。「ホリホック」とも呼ばれます。梅雨入りの頃に下の方から咲き始め、てっぺんの花が咲く頃に梅雨が明けるという言い伝えがあります。,https://upload.wikimedia.org/wikipedia/commons/e/ed/Alcea_rosea_red_01.jpg
アオキ（青木）,"若く美しく,初志貫徹,変わらぬ愛",冬になっても葉を落とさず、一年中青々とした葉を茂らせている常緑樹であることから「青木」と呼ばれます。,季節を問わず常に艶やかな緑色の葉を保つ生命力と、環境に左右されない強さから「初志貫徹」「若く美しく」。その変わらない姿は、永遠に続く愛の証ともされています。,12月9日,ガリア科（旧ミズキ科）。日本原産の植物で、日陰でも元気に育つため庭木として親しまれています。冬になると赤い実をつけ、緑の葉とのコントラストが鮮やかです。,https://upload.wikimedia.org/wikipedia/commons/2/25/Aucuba_japonica_bgiu.jpg
アカシア,"秘密の恋,友情,優雅,魂の不死",ギリシャ語で「トゲ」を意味する「akis」が語源です。多くの品種が鋭いトゲを持っていることに由来しています。,アメリカ先住民の伝説で、言葉で愛を伝える代わりにアカシアの花を贈って告白したことから「秘密の恋」。また、春にふわふわとした黄色い花が木全体を包み込む様子が、温かな友情を連想させるため「友情」の花言葉がつきました。,"2月14日,4月9日",マメ科アカシア属。オーストラリア原産。お花屋さんで「ミモザ」として並んでいる黄色い花は、実はこのアカシアの仲間（フサアカシアなど）です。,https://upload.wikimedia.org/wikipedia/commons/e/ec/Acacia_dealbata_kz02.jpg
アカツメクサ,"勤勉,実直,豊かな愛",かつてオランダからガラス製品を輸入する際、割れないように詰め物として乾燥したこの草を使っていたことから「詰草」。赤い花が咲く種類なのでアカツメクサです。,痩せた土地でもたくましく育ち、家畜の飼料として人々の生活を支えてきた働き者であることから「勤勉」「実直」。三つ葉の姿はキリスト教の三位一体になぞらえられることもあります。,"4月18日,5月29日",マメ科シャジクソウ属。ヨーロッパ原産。「レッドクローバー」とも呼ばれます。シロツメクサより背が高く、ハーブティーとしても利用され、女性の体調管理に役立つとされています。,https://upload.wikimedia.org/wikipedia/commons/e/ea/Trifolium_pratense_-_Keila.jpg
アカネ（茜）,"私を思って,媚び,傷",根っこを乾燥させると赤くなることから「赤根（あかね）」と名付けられました。夕焼けの「茜色」はこの植物の色が元になっています。,根から採れる赤い染料が、布を鮮烈な赤色に染め上げ、見る人を魅了することから「媚び」。その強烈な赤色が、相手の心に自分を刻み込みたいという切実な願い「私を思って」につながりました。,"8月23日,9月29日,10月22日",アカネ科。日本原産の植物です。日本で最も古くから使われている赤色染料の一つで、万葉集でも「あかねさす」という枕詞として登場するほど歴史があります。,https://upload.wikimedia.org/wikipedia/commons/e/ed/Rubia_arbor.jpg
アガパンサス,"恋の訪れ,ラブレター,知的な装い",ギリシャ語で「愛」を意味する「agape」と、「花」を意味する「anthos」を合わせた名前。「愛の花」という意味を持っています。,その名前の通り、愛を伝える「ラブレター」や、新しい恋の始まりである「恋の訪れ」といったロマンチックな意味が込められています。また、すっと背筋を伸ばして涼しげな紫色の花を咲かせる姿から「知的な装い」とも言われます。,"6月11日,6月29日,7月12日",ヒガンバナ科。南アフリカ原産。和名では「紫君子蘭（ムラサキクンシラン）」と呼ばれます。梅雨の時期に清涼感のある花を咲かせるため、街路樹や公園によく植えられています。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Agapanthus_africanus.jpg
アカンサス,"芸術,技巧,離れない結びつき",ギリシャ語の「akantha（トゲ）」に由来します。葉っぱの先が鋭く尖っているためです。和名は「葉薊（ハアザミ）」と言います。,古代ギリシャで、ある建築家が墓地に生い茂るアカンサスの葉を見てひらめき、美しい建築様式（コリント式）を考案したという逸話から、「芸術」「技巧」のシンボルとなっています。,"6月13日,7月17日,8月12日",キツネノマゴ科。地中海沿岸が原産で、ギリシャの国花でもあります。その優雅な葉の形は、賞状の枠飾りや紙幣のデザインなど、今でも世界中の装飾に使われています。,https://upload.wikimedia.org/wikipedia/commons/6/68/Acanthus_mollis_002.jpg
アキノキリンソウ,"予防,用心,警戒,励まし",秋に開花し、黄色い花姿がベンケイソウ科の「キリンソウ」に似ているため、この名がつきました。,花粉が多いので虫などが警戒して寄ってこないように見えることや、かつて傷薬として使われていた（細菌を用心して防ぐ）ことから「予防」「警戒」。また、秋の野山でひときわ明るい黄色い花が、見る人を元気づけることから「励まし」とも。,"8月25日,9月26日,10月17日",キク科。「アワダチソウ（泡立草）」とも呼ばれます。よく似た名前のセイタカアワダチソウは外来種ですが、こちらは日本原産の可憐な植物です。,https://upload.wikimedia.org/wikipedia/commons/9/94/Solidago_virgaurea_subsp_asiatica_var_asiatica_2.jpg
