name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
ナズナ（薺）,"あなたに私のすべてを捧げます,君を忘れない,春の便り",撫でたいほど可愛い「撫菜（なでな）」が変化した説が有力。別名「ペンペングサ」は、実が三味線のバチに似ており、ペンペンと音がしそうなことから。,英名は「羊飼いの財布」。実の形が中世の羊飼いが持つ革財布に似ており、その中の種（財産）をすべて差し出すという意味から「あなたに私のすべてを捧げます」という献身的な花言葉がついた。,"1月17日,2月6日",アブラナ科ナズナ属。春の七草の一つ。実を揺らすとシャラシャラと音がすることから、子供の玩具としても親しまれてきた。荒地でも育つ強い草。,https://upload.wikimedia.org/wikipedia/commons/2/26/Capsella_bursa-pastoris_flower.jpg
ナスタチウム（金蓮花）,"愛国心,勝利,困難に打ち克つ,恋の火",葉がハスに似て花が金色であることから「金蓮花」。独特の辛味が、鼻をねじ曲げる（Nasus Tortus）ほど刺激的であることに由来。,丸い葉を盾、赤い花を血染めの鎧に見立て、敵に立ち向かう戦士の姿を連想させることから「愛国心」「勝利」。食べると辛味で活力が湧くことから、戦いへのエネルギーを象徴する。,"4月6日,5月11日,9月6日",ノウゼンハレン科ノウゼンハレン属。南米原産。花も葉も食べられる「エディブルフラワー」の代表格。ピリッとした辛味があり、サラダの彩りに最適。,https://upload.wikimedia.org/wikipedia/commons/9/92/Tropaeolum_majus_garden.jpg
ナシ（梨）,"愛情,博愛,慰め,幻想,和やかな愛情",果肉が白い「中白（なかしろ）」が転じた説や、「無し」に通じるのを避けて「有りの実」と呼ばれることもある。,春に白い花を枝いっぱいに咲かせ、やがてみずみずしい実をつけて人々の喉を潤す姿が、母のような「愛情」「博愛」。白い花が月夜に浮かぶ姿から「幻想」。,"4月20日,4月30日",バラ科ナシ属。中国原産。日本の梨と洋梨は形も食感も異なる。花火の掛け声「玉屋、鍵屋」の鍵屋の紋は、梨の花をデザインしたもの。,https://upload.wikimedia.org/wikipedia/commons/c/c2/Pyrus_pyrifolia_flower.jpg
ナデシコ（撫子）,"純愛,大胆,才能,無邪気,貞節",子供を撫でるように可愛い花であることから「撫子」。「大和撫子」の語源。,可憐な見た目に反して、河原などの厳しい環境でも強く根を張る姿から「大胆」。その清楚さと芯の強さのギャップが、日本女性の理想像に重ねられ「純愛」「貞節」とされた。,"7月14日,7月22日,9月4日",ナデシコ科ナデシコ属。秋の七草の一つ。清少納言も『枕草子』でその美しさを称賛している。カーネーションもナデシコの仲間。,https://upload.wikimedia.org/wikipedia/commons/5/52/Dianthus_superbus_var_longicalycinus_2.jpg
ナツツバキ（夏椿）,"愛らしさ,儚い美しさ,哀愁",夏にツバキに似た花を咲かせることから。仏教の聖木「沙羅双樹」と混同され「シャラノキ」とも呼ばれる。,朝に咲いて夕方には散ってしまう一日花であることから、その命の短さを惜しんで「儚い美しさ」「哀愁」。白い花びらの縁が波打ち、清楚で愛らしい姿から「愛らしさ」。,"6月16日,7月1日",ツバキ科ナツツバキ属。日本原産。『平家物語』の「沙羅双樹の花の色」は、実際はこのナツツバキのこと。樹皮が剥がれてツルツルしており、サルスベリに似ている。,https://upload.wikimedia.org/wikipedia/commons/f/fb/Stewartia_pseudocamellia_flower.jpg
ナツメ（棗）,"健康,若々しさ,あなたの存在が私の悩みを軽くします",初夏に芽を出すことから「夏芽（なつめ）」。,栄養豊富な実が、古くから老化防止や強壮の薬として重宝され、若さを保つと信じられてきたことから「健康」「若々しさ」。,該当なし,クロウメモドキ科ナツメ属。中国原産。乾燥させた実は「大棗（たいそう）」という漢方薬になり、葛根湯などにも配合されている。茶道の「棗（なつめ）」は、この実に形が似ていることから名付けられた。,https://upload.wikimedia.org/wikipedia/commons/2/22/Ziziphus_jujuba_flower.jpg
ナノハナ（菜の花）,"快活,明るさ,競争,小さな幸せ",「菜（な）」は食用を意味し、食用の花の総称。一般的にはアブラナの花を指す。,春の光を浴びて、一面を黄色く染め上げる菜の花畑の風景が、見る人の心を弾ませることから「快活」「明るさ」。ひしめき合って咲く姿から「競争」。,"2月6日,3月27日",アブラナ科アブラナ属。地中海沿岸原産。春の訪れを告げる花。お浸しにして食べるほか、種からは菜種油が採れる。,https://upload.wikimedia.org/wikipedia/commons/3/30/Brassica_rapa_var._nippo-oleifera_flower.jpg
ナンテン（南天）,"私の愛は増すばかり,福をなす,機知に富む",「難を転ずる（難転）」に通じることから、縁起木として名付けられた。,赤い実がたわわに実る様子が、愛情が溢れているように見えることから「私の愛は増すばかり」。名前の由来通り、災いを福に変える力があるとして「福をなす」。,"12月5日,12月8日",メギ科ナンテン属。日本、中国原産。鬼門除けとして玄関やトイレの近くに植えられることが多い。のど飴の成分としても有名。,https://upload.wikimedia.org/wikipedia/commons/2/2f/Nandina_domestica_flowers.jpg
ニオイスミレ（匂菫）,"奥ゆかしい,高尚,秘密の恋",香りが強いスミレであることから。,葉の陰に隠れるように咲く控えめな姿と、そこから漂う芳醇な香りのギャップから「奥ゆかしい」「秘密の恋」。マリー・アントワネットやナポレオンも愛した香り。,"1月8日,2月27日",スミレ科スミレ属。欧州原産。香水の原料になるほど香りが強く、「スイートバイオレット」とも呼ばれる。,https://upload.wikimedia.org/wikipedia/commons/c/c8/Viola_odorata_flower.jpg
ニガウリ（苦瓜）,強壮,独特の苦味がある瓜であることから。沖縄の方言では「ゴーヤー」。,強烈な苦味があるが、食べると夏バテを防ぎ元気が湧いてくることから、その栄養価と効能を称えて「強壮」とされた。,10月19日,ウリ科ツルレイシ属。熱帯アジア原産。ビタミンCが非常に豊富。完熟すると黄色くなり、中の種は赤く甘くなる。,https://upload.wikimedia.org/wikipedia/commons/5/52/Momordica_charantia_flower.jpg
