name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
ハイビスカス,"繊細な美,新しい恋,常に新しい美,あなたを信じます",エジプトの美の女神「ヒビス」に由来し、その美しさにちなんで名付けられました。和名は「仏桑花（ブッソウゲ）」。,朝咲いて夕方にはしぼむ一日花であることから「繊細な美」。しかし、毎日次々と新しい蕾をつけて咲き続ける生命力から「常に新しい美」「新しい恋」の象徴ともされます。,"7月11日,8月10日,8月31日,9月22日",アオイ科フヨウ属。ハワイ州花。ハワイでは花を右耳に飾ると未婚、左耳だと既婚のサインになります。観賞用とハーブティー用（ローゼル）は別種。,https://upload.wikimedia.org/wikipedia/commons/8/84/Hibiscus_rosa-sinensis.jpg
ハギ（萩）,"思案,内気,柔軟な精神,前向きな恋",古い株から新芽が出る「生え木（はえき）」が転じた説が有力です。秋の七草の一つ。,秋風にゆらゆらと揺れる風情ある姿が、控えめで物思いにふけっているように見えることから「思案」「内気」。細い枝が風をしなやかに受け流して折れないことから「柔軟な精神」。,"9月24日,10月5日",マメ科ハギ属。日本全土に分布。秋のお彼岸の「おはぎ」は、この花に見立てて作られたもの（春は牡丹でぼたもち）。万葉集で最も多く詠まれた植物。,https://upload.wikimedia.org/wikipedia/commons/c/c9/Lespedeza_thunbergii_01.jpg
ハコベ（繁縷）,"ランデブー,愛らしい,密会,追想",茎が地面を這って広がる（はびこる）様子から名付けられました。春の七草の一つ。,葉の陰に隠れるように咲く小さな白い花や、小鳥たちが集まって楽しそうについばむ様子から、恋人たちの「密会」や「ランデブー（待ち合わせ）」を連想させました。,1月30日,ナデシコ科ハコベ属。道端の雑草ですが、ビタミン豊富で小鳥の大好物。昔は食用や、塩と混ぜて歯磨き粉としても使われました。,https://upload.wikimedia.org/wikipedia/commons/5/52/Stellaria_media_flower.jpg
ハス（蓮）,"清らかな心,神聖,離れゆく愛,雄弁",花托が蜂の巣に似ていることから「はちす」と呼ばれ、それが「はす」に変化しました。,泥水の中から茎を伸ばし、汚れのない清らかな花を咲かせる姿が、仏教の悟りの境地を象徴することから「清らかな心」「神聖」。花びらが一枚ずつはらりと散る様子が儚いため「離れゆく愛」。,"7月3日,7月8日,8月15日,9月26日",ハス科ハス属。インド原産。地下茎はレンコンとして食用になります。2000年前の種が発芽した「大賀ハス」など、種子の生命力が極めて強い。,https://upload.wikimedia.org/wikipedia/commons/f/f4/Lotus_flower_%28978659%29.jpg
パセリ,"お祭り気分,勝利,祝祭,不和",ギリシャ語の「Petros（岩）」と「Selinon（セロリ）」の合成語で、岩場に生えるセロリの意味。,古代ギリシャでは、競技会の勝者にパセリの冠を贈ったり、宴席で身につけて気分を盛り上げたことから「勝利」「お祭り気分」。一方で葬儀にも使われたため不吉な意味も併せ持ちます。,"5月25日,10月4日",セリ科オランダゼリ属。地中海沿岸原産。栄養価は野菜トップクラスですが、飾りとして残されがち。古代ローマでは口臭予防や解毒剤として利用されました。,https://upload.wikimedia.org/wikipedia/commons/d/d7/Petroselinum_crispum_flower.jpg
ハナカイドウ（花海棠）,"温和,美人の眠り,艶麗,友情",中国原産で、海棠（カイドウ）という美しい花木であることから。「海棠の雨に濡れたる風情」と美人に例えられます。,楊貴妃がほろ酔いで眠る姿を、皇帝が「海棠の眠り未だ覚めず」と例えた故事から「美人の眠り」「艶麗」。春に薄紅色の花を枝いっぱいに咲かせる姿が、華やかで優しいことから「温和」。,"2月25日,4月8日",バラ科リンゴ属。中国原産。桜の後に咲く春の花木。花柄が長く、サクランボのように垂れ下がって咲くのが特徴です。,https://upload.wikimedia.org/wikipedia/commons/2/23/Malus_halliana_flower.jpg
ハナキリン（花麒麟）,"早くキスして,逆境に耐える,冷たくしないで",サボテンのようなトゲのある茎を持ち、キリンのように首（茎）が長く伸びることから。,突き出した唇のような形の赤い花（苞）が、キスをねだっているように見えることから「早くキスして」。鋭いトゲだらけの茎を持つことから「冷たくしないで」や、厳しい環境で育つ強さから「逆境に耐える」。,"10月19日,12月12日",トウダイグサ科ユーフォルビア属。マダガスカル原産。茎のトゲは痛いですが、花は一年中咲き続け可愛らしいです。茎を切ると出る白い液には毒があります。,https://upload.wikimedia.org/wikipedia/commons/6/6f/Euphorbia_milii_flower.jpg
ハナショウブ（花菖蒲）,"うれしい知らせ,優雅,優しい心,あなたを信じる",葉がショウブ（サトイモ科）に似ており、美しい花を咲かせることから。アヤメ科の植物。,垂れ下がる大きな花びらが、ゆったりとして優雅な印象を与えることから「優雅」「優しい心」。アヤメ科共通の「よい便り（うれしい知らせ）」という意味も持ちます。,"5月5日,6月8日,6月27日",アヤメ科アヤメ属。日本原産。江戸時代に品種改良が進み、5000種類以上もの品種があります。水辺を好みますが、ショウブ湯に入れるショウブとは別物です。,https://upload.wikimedia.org/wikipedia/commons/8/87/Iris_ensata_var._ensata_flower.jpg
ハナズオウ（花蘇芳）,"裏切り,不信仰,目覚め,高貴",花の色が染料の蘇芳（すおう）色（黒みを帯びた赤）に似ていることから。,イエス・キリストを裏切ったユダが、この木で命を絶ったという伝説から「裏切り」「不信仰」とされました。欧米では「ユダの木」と呼ばれますが、春に葉が出る前に鮮やかな花を咲かせる姿は「目覚め」や「高貴」も表します。,"3月16日,4月6日",マメ科ハナズオウ属。中国原産。春に枝に直接くっつくように赤紫色の小花をびっしりと咲かせます。マメ科特有の蝶形花です。,https://upload.wikimedia.org/wikipedia/commons/9/91/Cercis_chinensis_flower.jpg
ハナニラ（花韮）,"悲しい別れ,耐える愛,星に願いを",葉をちぎるとニラのような匂いがし、可憐な花を咲かせることから。,青白い星形の花が、地上に降りた星のように見えることから「星に願いを」。美しくもどこか寂しげな色合いと、ニラの匂いというギャップから「悲しい別れ」とも。,"2月10日,3月26日",ヒガンバナ科ハナニラ属。メキシコ原産。別名「イフェイオン」。非常に丈夫で植えっぱなしでも増えます。花は美しいですが、食用ではありません。,https://upload.wikimedia.org/wikipedia/commons/c/c5/Ipheion_uniflorum_flower.jpg
