name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
マーガレット,"真実の愛,恋占い,心に秘めた愛,誠実",ギリシャ語の「Margarites（真珠）」に由来。その名の通り、真珠のように白く清楚な花であることから。和名は「木春菊」。,花びらを一枚ずつ散らして「好き、嫌い…」と占う恋占いの花として有名で、その結果を信じることから「真実の愛」。ギリシャ神話の処女神アルテミスに捧げられた花で、その純潔さから「誠実」。,"1月17日,2月1日,4月1日,9月3日",キク科モクシュンギク属。カナリア諸島原産。明治時代に日本へ伝来。本来は一重の白花だが、現在はピンクや黄色の品種も多い。,https://upload.wikimedia.org/wikipedia/commons/e/e5/Argyranthemum_frutescens_002.JPG
マリーゴールド,"嫉妬,絶望,悲しみ,変わらぬ愛,健康",「聖母マリアの黄金の花」という意味。聖母マリアの祝日にいつも咲いていたことに由来。,黄色はキリスト教で裏切り者ユダの衣の色とされ「嫉妬」「絶望」の象徴。一方で、太陽を浴びて長期間咲き続ける生命力から「変わらぬ愛」「健康」という正反対の意味も持つ。,"6月5日,7月18日,9月2日",キク科マンジュギク属。メキシコ原産。根の成分が土壌の害虫（線虫）を防ぐため、野菜畑のコンパニオンプランツとして優秀。メキシコの死者の日の祭壇に飾られる。,https://upload.wikimedia.org/wikipedia/commons/9/91/Tagetes_erecta_002.JPG
マツ（松）,"不老長寿,哀れみ,同情,永遠の若さ",神を「待つ（祀る）」木、または緑を「保つ」木に由来する説などがある。,寒さや乾燥に耐え、一年中青々とした葉を保ち、千年も生きる長寿の木であることから「不老長寿」。能楽や祝儀の席でも欠かせない吉祥の象徴。「哀れみ」は細い葉が寂しげに見えるという西洋の解釈。,"1月1日,12月14日",マツ科マツ属。北半球に分布。日本庭園の主役であり、お正月の門松に使われる。痩せた土地でも育つ強い生命力を持つ。,https://upload.wikimedia.org/wikipedia/commons/5/52/Pinus_thunbergii.jpg
マツバボタン（松葉牡丹）,"無邪気,可憐,忍耐,温和",葉が松のように細く、花が牡丹のように美しいことから。別名「日照り草」。,真夏の炎天下や乾燥した地面でも、元気に色鮮やかな花を次々と咲かせる姿が、子供のような「無邪気」さや、暑さに負けない「忍耐」強さを感じさせる。,"8月3日,8月21日",スベリヒユ科スベリヒユ属。南米原産。多肉質な葉に水分を蓄えるため乾燥に強い。曇りや夜は花を閉じる。こぼれ種でよく増える。,https://upload.wikimedia.org/wikipedia/commons/9/9e/Portulaca_grandiflora_flower.jpg
マツヨイグサ（待宵草）,"ほのかな恋,移り気,静かな恋",夕暮れ（宵）を待って花を咲かせることから。「宵待草（よいまちぐさ）」は竹久夢二の詩による呼び名。,夕方にひっそりと咲き始め、朝にはしぼんでしまう姿が、人目を忍ぶ「ほのかな恋」を連想させる。咲き始めの黄色から、しぼむと赤っぽく変色することから「移り気」。,6月21日,アカバナ科マツヨイグサ属。南北アメリカ原産。黄色い花が一般的。月見草（ツキミソウ）と混同されやすいが、野生で見かける黄色い花はだいたいこちら。,https://upload.wikimedia.org/wikipedia/commons/6/63/Oenothera_stricta_subsp._stricta.jpg
マトリカリア,"集う喜び,楽しさ,鎮静",ラテン語の「matrix（子宮）」に由来し、婦人病の薬草として使われたことから。和名は「夏白菊（ナツシロギク）」ですが、初夏に咲きます。,小さな白い花がたくさん集まって咲く姿が、人々が集まって楽しそうにおしゃべりをしているように見えることから「集う喜び」。薬草としての効果から「鎮静」。,"5月27日,6月1日",キク科ヨモギギク属。バルカン半島原産。カモミールに似ているが、花びらが短く中心が盛り上がっていないのが特徴。独特の香りがある。,https://upload.wikimedia.org/wikipedia/commons/d/d9/Tanacetum_parthenium_flower.jpg
マユミ（真弓）,"あなたの魅力を心に刻む,艶めき,真心",この木の材質が強くしなやかで、弓の材料として最高であったことから「真弓」。,秋に熟す実が、ピンク色の殻が割れて中から真っ赤な種が顔を出す様子が美しく、その鮮烈な色彩が心に残ることから「あなたの魅力を心に刻む」。,"10月24日,10月31日",ニシキギ科ニシキギ属。日本、東アジア原産。紅葉も実も美しい。材は弓のほか、将棋の駒やこけしの材料にもなる。,https://upload.wikimedia.org/wikipedia/commons/f/f6/Euonymus_hamiltonianus.jpg
マンサク（万作）,"霊感,ひらめき,幸福の再来",春に他の花に先駆けて「まず咲く」が訛った説や、豊年満作を占う花であることから。,早春のまだ寒い時期に、いち早く黄色い花を咲かせる姿が、春の訪れ（幸福）を予感させることから「幸福の再来」。細いリボンのような花びらが直感的に弾けるイメージから「ひらめき」。,"1月31日,2月12日,3月21日",マンサク科マンサク属。日本原産。枯れ葉が残る枝に黄色いリボンのような花を咲かせる独特の姿が、春一番の山を彩る。,https://upload.wikimedia.org/wikipedia/commons/0/07/Hamamelis_japonica_flower.jpg
マンリョウ（万両）,"寿ぎ,陰徳,財産,金満家",冬に赤い実をつけ、センリョウ（千両）よりも実が大きく数も多い（重い）ことから、さらに価値が高いとして「万両」。,葉の下に隠れるようにたくさんの赤い実を垂れ下げる姿が、徳を積んでもひけらかさない「陰徳」を表す。お正月の縁起物として、富や繁栄を象徴する「寿ぎ」「財産」。,1月2日,サクラソウ科ヤブコウジ属。日本、東アジア原産。千両は葉の上に実がつくが、万両は葉の下に実がつくのが特徴。,https://upload.wikimedia.org/wikipedia/commons/5/5f/Ardisia_crenata_fruit.jpg
ミズバショウ（水芭蕉）,"美しい思い出,変わらぬ美しさ",水辺に生え、葉がバショウ（芭蕉）の葉に似ていることから。,尾瀬などの湿原で、雪解け水の中から純白の仏炎苞（ぶつえんほう）を見せる姿が、清らかで神々しい美しさを持つことから。唱歌『夏の思い出』にも歌われるように、訪れた人の心に「美しい思い出」を残す。,"2月26日,5月3日",サトイモ科ミズバショウ属。日本（北日本）原産。白い部分は花ではなく仏炎苞で、本当の花は中央の棒状の部分。クマが冬眠明けに下剤として食べると言われる。,https://upload.wikimedia.org/wikipedia/commons/3/30/Lysichiton_camtschatcense_flower.jpg
ミソハギ（禊萩）,"純愛,悲哀,慈悲",花を使って水をまき、精霊棚などを清める（禊ぎ）儀式に使われた「禊萩（みそぎはぎ）」が転じたとされる。お盆の花。,お盆にこの花で水を供えて先祖の霊を慰める風習から、故人への変わらぬ愛や慈しみを表す「慈悲」「純愛」。湿地に咲く赤紫色の花がどこか寂しげであることから「悲哀」。,"8月13日,9月23日,10月11日",ミソハギ科ミソハギ属。日本全土に分布。別名「盆花」。水辺を好み、夏にお盆の時期に合わせて赤紫色の花穂を立ち上げる。,https://upload.wikimedia.org/wikipedia/commons/6/69/Lythrum_anceps_flower.jpg
ミツマタ（三椏）,"強靭,意外な思い,肉親の絆",枝が必ず三つに分岐することから「三椏」。,樹皮の繊維が非常に強く、高級和紙（紙幣など）の原料になることから「強靭」。三つに分かれた枝が、親と子の関係や家族の繋がりを連想させることから「肉親の絆」。,"2月21日,3月20日",ジンチョウゲ科ミツマタ属。中国原産。春先に黄色いポンポンのような花を咲かせ、良い香りを放つ。日本の紙幣にはミツマタが使われている。,https://upload.wikimedia.org/wikipedia/commons/e/ea/Edgeworthia_chrysantha_flower.jpg
ミヤコワスレ（都忘れ）,"別れ,しばしの憩い,強い意志",承久の乱で佐渡へ流された順徳天皇が、この花を見て「都への思いを忘れさせてくれる」と慰められた伝説から。,都を追われた天皇の悲しみと、それでも花に癒やされた束の間の安らぎから「しばしの憩い」「別れ」。厳しい環境でも美しく咲く姿から「強い意志」。,"3月11日,4月21日",キク科ミヤマヨメナ属。日本固有種（ミヤマヨメナの園芸品種）。野菊の仲間だが、濃い紫色の花が上品で、茶花として愛される。,https://upload.wikimedia.org/wikipedia/commons/e/e5/Gymnaster_savatieri.jpg
ミョウガ（茗荷）,"忍耐,風情",自分の名前を忘れてしまう愚かな弟子に、名札（名荷）をかけたという仏教説話に由来するが、俗説である。「芽香（めが）」が転じたとも。,日陰の湿った場所でひっそりと育つ性質から「忍耐」。独特の香りと味わいが、日本の食卓に季節感と趣を添えることから「風情」。,8月6日,ショウガ科ショウガ属。東アジア原産。花（花穂）と茎（竹の子）を食べる。食べると物忘れをするという迷信があるが、科学的根拠はない。,https://upload.wikimedia.org/wikipedia/commons/1/1a/Zingiber_mioga_flower.jpg
ミラクルフルーツ,不思議,食べた後に酸っぱいものを食べると甘く感じるという、不思議な味覚修飾作用があることから。,レモンなどの酸っぱいものを、まるで砂糖漬けのように甘く感じさせる魔法のような効果から、そのまま「不思議」という花言葉がついた。,該当なし,アカテツ科ミラクルフルーツ属。西アフリカ原産。実に含まれる「ミラクリン」というタンパク質が味覚芽に作用する。実自体は甘くない。,https://upload.wikimedia.org/wikipedia/commons/2/2f/Synsepalum_dulcificum_fruit.jpg
ミント（薄荷）,"美徳,効能,爽快",ギリシャ神話の妖精メンテに由来。冥王ハーデスに愛されたため、嫉妬した妻に草に変えられたとされる。,清涼感のある香りが気分をリフレッシュさせ、殺菌・消化促進などの薬効があることから「効能」「爽快」。その役に立つ性質から「美徳」とされた。,"3月16日,5月28日,12月21日",シソ科ハッカ属。ユーラシア大陸原産。交雑しやすく種類が非常に多い。スペアミントやペパーミントが代表的。繁殖力が凄まじく、地植えにすると増えすぎて困ることも。,https://upload.wikimedia.org/wikipedia/commons/6/6f/Mentha_spicata_flower.jpg
ムクゲ（木槿）,"信念,新しい美,尊敬,デリケートな美",中国名の「木槿（ムージン）」が訛ってムクゲになったとされる。韓国の国花。,朝咲いて夕方にはしぼむ一日花だが、夏の間中、次々と新しい花を咲かせ続ける生命力から「信念」「新しい美」。千利休の孫、千宗旦が愛した花として「尊敬」。,"2月22日,8月26日,9月11日",アオイ科フヨウ属。中国原産。ハイビスカスやフヨウの仲間。非常に丈夫で、排気ガスにも強いため街路樹によく使われる。茶花としても重要。,https://upload.wikimedia.org/wikipedia/commons/d/d4/Hibiscus_syriacus_flower.jpg
ムスカリ,"失望,失意,明るい未来,通じ合う心",ギリシャ語の「moschos（ムスク）」に由来。麝香（ジャコウ）のような香りがあることから。,紫色の花がうつむいて咲く姿が、悲しみに沈んでいるように見えることから、ヨーロッパでは「失望」「失意」という悲しい意味を持つ。一方で、鮮やかな青色が春の訪れを告げることから「明るい未来」とも。,"1月30日,2月26日,4月22日",キジカクシ科（ユリ科）ムスカリ属。地中海沿岸原産。ブドウの房を逆さにしたような花姿から「グレープヒヤシンス」とも呼ばれる。チューリップと一緒に植えられることが多い。,https://upload.wikimedia.org/wikipedia/commons/9/91/Muscari_armeniacum_flower.jpg
ムラサキシキブ（紫式部）,"聡明,愛され上手,上品",秋になる実が美しい紫色であることから、平安時代の作家・紫式部にあやかって名付けられた。,紫色の実が放つ上品で知的な美しさが、才女として名高い紫式部を連想させることから「聡明」。たわわに実る様子が、多くの人に愛された光源氏の物語を思わせるため「愛され上手」。,"10月17日,11月4日",シソ科（クマツヅラ科）ムラサキシキブ属。日本、東アジア原産。実際には、より実つきが良く小型の「コムラサキ」がムラサキシキブとして流通していることが多い。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Callicarpa_japonica_fruit.jpg
メランポジウム,"元気,あなたはかわいい",ギリシャ語の「melas（黒い）」と「podion（足）」に由来。茎の根元が黒くなることから。,鮮やかな黄色の小花を株いっぱいに咲かせ、夏の暑さにも負けずに元気に育つ姿から「元気」。小さな花が星のように散りばめられた様子が愛らしいことから「あなたはかわいい」。,"6月27日,10月13日",キク科メランポジウム属。メキシコ原産。こんもりと丸く茂り、手入れをしなくても形が整うため「ミリオンゴールド」とも呼ばれる。,https://upload.wikimedia.org/wikipedia/commons/9/91/Melampodium_divaricatum_flower.jpg
モクレン（木蓮/紫木蓮）,"自然への愛,崇高,持続性",花がハス（蓮）に似ており、木に咲くことから「木蓮」。一般的にモクレンというと紫色の「シモクレン」を指す。,春、葉が出る前に大きな紫色の花を空に向かって咲かせる姿が、自然の生命力を賛美しているように見えることから「自然への愛」。仏教と縁が深く、高貴な花とされることから「崇高」。,"4月15日,5月7日",モクレン科モクレン属。中国原産。地球上で最も古い花木の一つ。白い花は「ハクモクレン」といい、別の種類（花言葉は「慈悲」「高潔」）。,https://upload.wikimedia.org/wikipedia/commons/e/ee/Magnolia_liliiflora_flower.jpg
モミジ（紅葉）,"美しい変化,調和,大切な思い出,遠慮",秋に葉が紅変（もみ）づることから。植物分類上はカエデと同じ。,緑から赤や黄色へと鮮やかに色を変える様子から「美しい変化」。周囲の景色と調和して美しい風景を作ることから「調和」。散りゆく紅葉が、過ぎ去った日々を懐かしく思い出させることから「大切な思い出」。,"10月3日,10月25日",ムクロジ科カエデ属。日本は世界有数のモミジの自生地。「カエデ」は葉の形（カエルの手）に由来し、「モミジ」は紅葉する現象に由来する日本特有の呼び方。,https://upload.wikimedia.org/wikipedia/commons/f/fe/Acer_palmatum_2.jpg
モモ（桃）,"私はあなたのとりこ,天下無敵,気立ての良さ",たくさんの実がなることから「百（もも）」、あるいは実が赤い「燃実（もえみ）」が転じたとされる。漢字の「桃」は、兆（きざし）の意味を持ち、実が多産や春の兆しを意味するからとも。,女性の肌のような瑞々しい果実と、美しいピンクの花が人々を魅了することから「私はあなたのとりこ」。日本神話でイザナギノミコトが桃を投げて魔物を追い払った伝説（古事記）から「天下無敵」。,"3月3日,4月12日",バラ科モモ属。中国原産。中国では不老長寿の仙木とされ、桃源郷の伝説など神聖視されている。ひな祭りの花としても欠かせない。観賞用の「ハナモモ」と、食用の「実モモ」がある。,https://upload.wikimedia.org/wikipedia/commons/7/77/Prunus_persica01.jpg
モルセラ（貝殻猿子）,"感謝,希望,永遠の愛",萼（がく）の形が貝殻のように見えることから「カイガラサルビア」とも呼ばれる。モルセラはリンネの植物名録に由来。,緑色のカップ状の萼の中に、小さな白い花やピンクの花が守られるように咲く姿が、大切に守られた「希望」や「永遠の愛」を感じさせる。,8月24日,シソ科モルセラ属。地中海沿岸原産。花びらのように見える緑色の部分は萼（がく）で、ドライフラワーにしても色が残りやすい。爽やかな香りがする。,https://upload.wikimedia.org/wikipedia/commons/2/2f/Moluccella_laevis_flower.jpg
モンステラ,"うれしい便り,壮大な計画,深い関係",ラテン語の「monstrum（怪物）」に由来。葉が巨大で独特の切れ込みがあることから。,葉の切れ込みから光が差し込む様子を、ハワイでは「希望の光を導く」と捉え、「うれしい便り」や「壮大な計画」の象徴とした。ジャングルで大きく育ち、他の木に絡みつく姿から「深い関係」。,"9月30日,12月15日",サトイモ科モンステラ属。熱帯アメリカ原産。エキゾチックな葉の形が人気で、ハワイアンキルトのデザインや観葉植物として定番。実は食べられる（バナナとパイナップルを混ぜたような味）。,https://upload.wikimedia.org/wikipedia/commons/e/e0/Monstera_deliciosa_leaf.jpg
ミズヒキ（水引）,"慶事,祭礼,感謝の気持ち",紅白の花が、祝儀袋にかける水引（みずひき）に似ていることから。,上から見ると赤く、下から見ると白く見える小さな花が、お祝い事に使われる紅白の水引を連想させることから「慶事」「祭礼」。質素ながらも縁起の良い花。,11月11日,タデ科イヌタデ属。日本全土に分布。秋の野山や庭の隅にひっそりと咲く。茶花としても好まれる。葉に「Ｖ」字の模様が入るものもある。,https://upload.wikimedia.org/wikipedia/commons/5/52/Persicaria_filiformis_flower.jpg
ミセバヤ（見せばや）,"大切なあなた,つつましさ,静穏",「誰に見せようか（見せたいな）」という意味の古語「見せばや」に由来。高野山の法師が、この花の美しさを誰かに見せたいと詠んだ歌から。,多肉質の葉が重なり合い、その先にピンク色の小さな花を密集させて咲かせる姿が、繊細で美しく、大切な人にだけ見せたいという気持ちを表していることから「大切なあなた」。,"10月13日,10月26日",ベンケイソウ科ムラサキベンケイソウ属。日本固有種。古くから観賞用として栽培されてきたが、自生地では絶滅危惧種となっている多肉植物。,https://upload.wikimedia.org/wikipedia/commons/2/2f/Hylotelephium_sieboldii_flower.jpg
ミモザ（フサアカシア）,"秘密の恋,友情,真実の愛,優雅",葉がオジギソウ（ミモザ）に似ているアカシアであることから。一般的に花屋でミモザと呼ばれるのは「ギンヨウアカシア」などのアカシア類。,イタリアでは3月8日の「国際女性デー（ミモザの日）」に、男性から女性へ感謝を込めてミモザを贈る習慣があり「友情」「真実の愛」。アメリカ先住民が愛の告白に使った伝説から「秘密の恋」。,"2月14日,4月9日",マメ科アカシア属。オーストラリア原産。春に黄色いポンポンのような花を木いっぱいに咲かせる。香水（ミモザ）の原料にもなる。,https://upload.wikimedia.org/wikipedia/commons/e/ec/Acacia_dealbata_kz02.jpg
ミヤコグサ（都草）,"また逢う日まで,気まぐれな心",京都の大原などに多く自生し、都の人々に愛されたことから。黄色い花が都の華やかさを連想させるからとも。,鮮やかな黄色い花を咲かせるが、時が経つと赤みを帯びてくることから、移ろいやすい「気まぐれな心」。旅立つ人が都を振り返りながらこの花を見た情景から「また逢う日まで」。,5月26日,マメ科ミヤコグサ属。日本全土に分布。春から初夏にかけて、地面を這うように広がり、蝶のような黄色い花を咲かせる。,https://upload.wikimedia.org/wikipedia/commons/5/5f/Lotus_corniculatus_var._japonicus_flower.jpg
ムスカリ,"失望,失意,明るい未来,通じ合う心",ギリシャ語の「moschos（ムスク）」に由来。麝香（ジャコウ）のような香りがあることから。,紫色の花がうつむいて咲く姿が、悲しみに沈んでいるように見えることから、ヨーロッパでは「失望」「失意」という悲しい意味を持つ。一方で、鮮やかな青色が春の訪れを告げることから「明るい未来」とも。,"1月30日,2月26日,4月22日",キジカクシ科（ユリ科）ムスカリ属。地中海沿岸原産。ブドウの房を逆さにしたような花姿から「グレープヒヤシンス」とも呼ばれる。チューリップと一緒に植えられることが多い。,https://upload.wikimedia.org/wikipedia/commons/9/91/Muscari_armeniacum_flower.jpg
ムラサキツユクサ（紫露草）,"尊敬,ひとときの幸せ,快活",ツユクサに似ており、花色が紫であることから。,朝に咲いて午後にはしぼんでしまう儚さが、短くも美しい「ひとときの幸せ」を象徴する。次々と新しい花を咲かせる生命力から「快活」。紫色の高貴な色合いから「尊敬」。,"6月15日,6月23日",ツユクサ科ムラサキツユクサ属。北米原産。理科の実験（雄しべの毛の原形質流動の観察）でよく使われる植物。花色は紫のほか、青、白、ピンクなどがある。,https://upload.wikimedia.org/wikipedia/commons/2/2f/Tradescantia_ohiensis_flower.jpg
メギ（目木）,"激しい気性,過敏",枝を煎じた汁で目を洗うと眼病に効くことから「目木」。鋭いトゲがあることから「コトリトマラズ」とも。,枝に鋭いトゲがたくさんあり、うかつに触れると傷つくことから、神経質で近づきがたい様子を表す「過敏」「激しい気性」という花言葉がついた。,該当なし,メギ科メギ属。日本原産。春に黄色い小花を咲かせ、秋には赤い実と紅葉が美しい。トゲがあるため生垣によく使われる。,https://upload.wikimedia.org/wikipedia/commons/9/91/Berberis_thunbergii_flower.jpg
