name,meaning,name_origin,meaning_origin,birth_flower,trivia,image_url
サイネリア,"いつも快活,喜び,望みある悩み",昔の学名「Cineraria」はラテン語で「灰色」という意味です。葉の裏に灰色の綿毛が生えていることから。和名は「富貴菊（フウキギク）」。,冬から春にかけて、カラフルな花をドーム状にこんもりと咲かせる姿が、とても明るく元気に見えることから「いつも快活」「喜び」。日本では「シネリア」という名前が「死」に聞こえて縁起が悪いため、「サイネリア」と言い換えられるようになりました。,"1月4日,2月14日,12月2日",キク科。カナリア諸島原産。卒業式や入学式を彩る鉢植えとして定番ですが、実は寒さに弱いので管理には注意が必要です。,https://upload.wikimedia.org/wikipedia/commons/e/ed/Cineraria_maritima_flower.jpg
サクラ（桜）,"精神の美,優美な女性,純潔,優れた教育",日本神話の女神「コノハナサクヤヒメ」の「サクヤ」が変化して「サクラ」になったと言われています。また、稲の神様が降りてくる場所（座＝クラ）という意味もあるそうです。,満開の美しさだけでなく、散り際の潔さや美しさを、昔から日本人は「精神の美」として大切にしてきました。アメリカ初代大統領ワシントンが、子供の頃に桜の木を切ったことを正直に謝った逸話から「優れた教育」や「精神の美」が連想されたとも言われます。,"3月28日,4月1日,4月9日",バラ科。北半球に広く分布していますが、実質的な日本の国花です。ソメイヨシノは全て接ぎ木で増やされたクローンなので、地域ごとに一斉に咲いて一斉に散ります。,https://upload.wikimedia.org/wikipedia/commons/0/0c/Cherry_Blossoms_at_High_Park.jpg
サクラソウ（桜草）,"初恋,憧れ,純潔,自然の美しさを失わない",花の形や色が桜に似ていて、草であることからそのまま「桜草」と名付けられました。江戸時代に大ブームになり、たくさんの品種が作られた伝統的な植物です。,早春の野原で、桜に似たハート型の花びらを持つピンク色の花がひっそりと咲く姿が、純粋な少女の「初恋」や「憧れ」を思わせます。開発で野生のサクラソウが減ってしまいましたが、その可憐な姿は「自然の美しさを失わない」ことのシンボルでもあります。,"2月1日,2月24日,4月28日",サクラソウ科。日本、朝鮮半島原産。さいたま市の田島ヶ原には、国の特別天然記念物に指定されている貴重な自生地があります。西洋のプリムラの親戚です。,https://upload.wikimedia.org/wikipedia/commons/c/c3/Primula_sieboldii_7.jpg
サカキ（榊）,"神を尊ぶ,控えめな美点,揺るがない",神様の世界と人間界の境にある木「境木（さかき）」が変化した説や、一年中緑の葉が茂る「繁木（さかき）」に由来する説があります。,天岩戸の神話で、天照大神を岩戸から誘い出すために、神々がこの木の枝に鏡や勾玉を飾って祈ったことから、神事には欠かせない「神を尊ぶ」木とされました。,11月12日,サカキ科。日本、東アジア原産。神棚にお供えする植物としておなじみです。関東より北ではサカキが育ちにくいため、似ているヒサカキ（非榊）が代用されることが多いです。,https://upload.wikimedia.org/wikipedia/commons/6/6f/Cleyera_japonica_1.jpg
サザンカ（山茶花）,"困難に打ち勝つ,ひたむきさ,理想の愛",中国語でツバキの仲間を指す「山茶（サンサ）」の花という意味で「山茶花（サンサカ）」となり、それが言いやすい「サザンカ」に変化しました。,他の植物が枯れてしまう寒い冬に、冷たい北風にも負けず鮮やかな赤やピンクの花を咲かせるけなげな姿から「困難に打ち勝つ」「ひたむきさ」という強い意志を表す言葉が生まれました。,"11月16日,12月4日",ツバキ科。日本固有種。ツバキとそっくりですが、ツバキは花が丸ごと落ちるのに対し、サザンカは花びらが一枚ずつハラハラと散るのが見分けるポイントです。,https://upload.wikimedia.org/wikipedia/commons/d/d4/Camellia_sasanqua01.jpg
サボテン（仙人掌）,"燃える心,偉大,枯れない愛,暖かい心",16世紀にポルトガル人がウチワサボテンの樹液を石鹸（シャボン）として使っていたことから「石鹸体（シャボンテイ）」と呼ばれ、それがなまって「サボテン」になったと言われています。,水のない砂漠でも枯れずに生き抜き、たっぷりと水分を蓄えている姿から「枯れない愛」「暖かい心」。トゲトゲした無骨な見た目とは裏腹に、情熱的で鮮やかな美しい花を咲かせることから「燃える心」とも。,"7月29日,12月10日",サボテン科。南北アメリカ大陸原産。漢字の「仙人掌」は中国名で、ウチワサボテンが仙人の手のひらのように見えることに由来します。,https://upload.wikimedia.org/wikipedia/commons/e/e5/Saftpaguera.jpg
サフラン,"歓喜,過度をつつしめ,濫用するな,陽気",アラビア語で「黄色」を意味する言葉に由来します。雌しべから採れる染料が鮮やかな黄色になるからです。,大昔から高価な香料や薬として使われ、その香りが人々を楽しい気分にさせ、痛みを和らげたことから「歓喜」。しかし、使いすぎると麻痺などを引き起こす危険があることから「過度をつつしめ」という警告の意味も込められています。,"1月4日,11月14日",アヤメ科。地中海沿岸原産。たった1gのサフランを採るのに160個以上の花が必要という、世界一高価なスパイスです。パエリアのあの黄色はこの花の色です。,https://upload.wikimedia.org/wikipedia/commons/8/87/Crocus_sativus2.jpg
サギソウ（鷺草）,"夢でもあなたを想う,清純,繊細,神秘的な愛",真っ白な花の形が、翼を広げて飛んでいるシラサギ（鷺）の姿にそっくりなことから名付けられました。,世田谷区に伝わる「常盤姫」の伝説が由来です。無実の罪で追われた姫が、身の潔白を証明するために自害し、遺書を託して飛ばした白鷺が力尽きて落ちた場所から、この花が咲いたという悲しくも美しい物語から「夢でもあなたを想う」とされました。,"8月13日,8月21日",ラン科。日本、東アジア原産。日当たりの良い湿地に生えますが、開発や乱獲で激減し、今は環境省の準絶滅危惧種になっています。,https://upload.wikimedia.org/wikipedia/commons/7/77/Habenaria_radiata_flower_1.JPG
サツキ（皐月）,"節制,貞淑,幸福,協力を得られる",旧暦の5月（皐月）に花が咲くことから名付けられました。ツツジの仲間ですが、普通のツツジより1ヶ月ほど遅く咲きます。,岩場や川沿いなどの厳しい環境でも、低く構えて美しく咲く姿から、欲を抑えた「節制」や、控えめな女性を表す「貞淑」。川岸の岩場でお互いに支え合うように集まって生えることから「協力を得られる」とも。,"5月12日,5月19日",ツツジ科。日本原産。盆栽として非常に人気があります。ツツジに比べて葉っぱが小さくて硬く、ツヤがあるのが特徴です。,https://upload.wikimedia.org/wikipedia/commons/c/ce/Rhododendron_indicum.jpg
サポナリア,"清廉,純愛,賢明な行動",ラテン語の「石鹸（sapo）」に由来します。葉や根を水で揉むと、石鹸のように泡立つ成分が含まれているからです。和名は「石鹸草（シャボンソウ）」。,淡いピンク色の花が、優しく控えめに咲く姿から「純愛」「清廉」。かつてヨーロッパでは、この植物の煮汁を洗剤代わりにして羊毛を洗っていた歴史があり、生活に役立つことから「賢明な行動」とされました。,"5月20日,6月21日",ナデシコ科。ヨーロッパ原産。明治時代に日本に来ました。天然の石鹸成分を含んでいますが、食べると毒なので注意が必要です。,https://upload.wikimedia.org/wikipedia/commons/2/22/Saponaria_officinalis_LC0158.jpg
